                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1401,                 3.9809,                 0.9078,                0.10678,                  0.193,                 0.0938,                0.07669,                 0.6699,                  2.555,                0.81496,              0.0033295,              0.0033295,              0.0033295
                      1,                0.90113,                 2.3007,                0.85448,                0.39721,                0.66557,                0.51553,                0.42935,                0.63827,                 1.5256,                0.81989,              0.0066079,              0.0066079,              0.0066079
                      2,                0.87998,                 1.6477,                0.85238,                0.76409,                0.77867,                0.86339,                 0.7221,                0.64104,                0.94296,                 0.8177,              0.0098313,              0.0098313,              0.0098313
                      3,                0.83162,                 1.2169,                0.84561,                0.90003,                0.90299,                0.96654,                 0.8262,                  0.592,                 0.6165,                 0.8087,              0.0097525,              0.0097525,              0.0097525
                      4,                0.76144,                0.98295,                0.83432,                0.93997,                0.93344,                0.98228,                0.85734,                0.53395,                0.51425,                0.79975,              0.0097525,              0.0097525,              0.0097525
                      5,                 0.7183,                0.85729,                0.82867,                0.94622,                0.94449,                0.98399,                0.86042,                0.53495,                0.48497,                0.80028,                0.00967,                0.00967,                0.00967
                      6,                0.69388,                0.77008,                0.82444,                0.97654,                0.96563,                0.99156,                0.86016,                0.55368,                0.42942,                 0.7999,              0.0095875,              0.0095875,              0.0095875
                      7,                 0.6677,                0.70942,                0.81918,                0.98178,                0.97492,                0.99299,                0.88233,                0.49605,                0.38781,                0.79428,               0.009505,               0.009505,               0.009505
                      8,                0.64938,                0.66191,                0.81813,                0.98378,                0.97884,                0.99331,                0.87937,                0.50159,                0.37054,                0.79401,              0.0094225,              0.0094225,              0.0094225
                      9,                0.63455,                0.62506,                0.81531,                0.98161,                0.97493,                0.99318,                0.88661,                0.48484,                0.36432,                0.79135,                0.00934,                0.00934,                0.00934
                     10,                0.62676,                0.59333,                 0.8134,                 0.9866,                 0.9826,                0.99396,                 0.8941,                0.46338,                0.33762,                0.78864,              0.0092575,              0.0092575,              0.0092575
                     11,                0.61194,                0.57079,                0.81155,                0.98979,                0.98782,                0.99446,                0.90165,                0.44846,                0.31836,                0.78699,               0.009175,               0.009175,               0.009175
                     12,                0.60298,                0.55257,                0.81059,                0.99013,                0.99069,                 0.9946,                0.89328,                0.46829,                0.31625,                0.78952,              0.0090925,              0.0090925,              0.0090925
                     13,                 0.5953,                0.53651,                0.80989,                0.99069,                0.99078,                0.99463,                0.89875,                0.45384,                 0.3091,                0.78838,                0.00901,                0.00901,                0.00901
                     14,                0.58682,                0.52447,                0.80934,                0.99201,                0.98975,                0.99466,                0.89334,                0.46912,                0.30145,                0.78905,              0.0089275,              0.0089275,              0.0089275
                     15,                0.58043,                0.50834,                0.80737,                0.99374,                 0.9909,                0.99477,                 0.8959,                0.46147,                 0.2961,                0.78859,               0.008845,               0.008845,               0.008845
                     16,                0.57288,                0.49496,                0.80755,                0.99487,                0.99426,                0.99484,                0.90643,                0.43136,                0.28162,                0.78466,              0.0087625,              0.0087625,              0.0087625
                     17,                0.56798,                0.49361,                 0.8062,                0.99454,                 0.9938,                 0.9949,                0.91026,                0.42219,                 0.2773,                0.78276,                0.00868,                0.00868,                0.00868
                     18,                0.56152,                 0.4785,                0.80532,                0.99451,                0.99366,                0.99487,                0.91008,                0.42614,                0.27308,                0.78414,              0.0085975,              0.0085975,              0.0085975
                     19,                0.55712,                0.47202,                0.80371,                0.99525,                0.99473,                0.99485,                    0.9,                0.45333,                0.27424,                 0.7865,               0.008515,               0.008515,               0.008515
                     20,                 0.5519,                0.46697,                0.80337,                0.99557,                0.99463,                0.99477,                0.91375,                0.41192,                0.26434,                0.78179,              0.0084325,              0.0084325,              0.0084325
                     21,                0.54733,                0.46178,                0.80347,                0.99684,                0.99542,                0.99493,                0.91274,                0.41651,                0.25903,                0.78161,                0.00835,                0.00835,                0.00835
                     22,                 0.5437,                0.45519,                  0.803,                0.99721,                0.99647,                0.99491,                0.91373,                0.41723,                0.25662,                0.78193,              0.0082675,              0.0082675,              0.0082675
                     23,                0.54038,                0.44688,                 0.8031,                0.99695,                0.99526,                0.99492,                0.91232,                0.42208,                0.25617,                0.78254,               0.008185,               0.008185,               0.008185
                     24,                0.53625,                0.44305,                0.80224,                0.99754,                0.99691,                0.99494,                0.89947,                0.45444,                0.25819,                0.78475,              0.0081025,              0.0081025,              0.0081025
                     25,                0.53295,                0.44004,                0.80198,                0.99651,                0.99712,                0.99494,                0.91657,                0.40498,                0.24794,                0.78127,                0.00802,                0.00802,                0.00802
                     26,                0.52926,                0.43478,                 0.8012,                0.99759,                0.99742,                0.99497,                0.91685,                0.40673,                 0.2434,                0.78109,              0.0079375,              0.0079375,              0.0079375
                     27,                0.52383,                0.42738,                 0.8012,                0.99773,                0.99666,                0.99497,                0.92159,                0.39267,                0.23994,                0.77975,               0.007855,               0.007855,               0.007855
                     28,                0.52092,                0.42481,                0.80061,                0.99789,                0.99765,                0.99497,                0.92103,                0.39544,                0.23784,                0.77926,              0.0077725,              0.0077725,              0.0077725
                     29,                0.51968,                0.42194,                0.79997,                0.99797,                0.99801,                0.99496,                0.91885,                0.40339,                0.23624,                0.77991,                0.00769,                0.00769,                0.00769
                     30,                0.51803,                0.41457,                 0.7996,                0.99825,                  0.998,                0.99495,                0.91725,                0.40368,                0.23514,                0.77971,              0.0076075,              0.0076075,              0.0076075
                     31,                0.51472,                0.41485,                0.79861,                0.99867,                0.99836,                0.99494,                0.92157,                0.39297,                0.23154,                 0.7788,               0.007525,               0.007525,               0.007525
                     32,                0.51044,                0.40997,                0.79814,                0.99794,                0.99787,                0.99499,                0.92322,                0.38919,                0.22874,                0.77867,              0.0074425,              0.0074425,              0.0074425
                     33,                0.50865,                0.40649,                0.79941,                0.99826,                0.99772,                0.99495,                0.92769,                0.37932,                0.22616,                0.77774,                0.00736,                0.00736,                0.00736
                     34,                0.50771,                 0.4073,                0.79814,                0.99854,                0.99818,                0.99494,                0.92695,                0.38059,                0.22507,                0.77767,              0.0072775,              0.0072775,              0.0072775
                     35,                0.50389,                0.40023,                0.79874,                0.99836,                0.99834,                0.99497,                0.92459,                0.38644,                0.22451,                0.77799,               0.007195,               0.007195,               0.007195
                     36,                0.50011,                0.39684,                0.79759,                0.99851,                0.99881,                0.99495,                0.93098,                0.36848,                0.21953,                0.77656,              0.0071125,              0.0071125,              0.0071125
                     37,                0.49894,                0.39693,                0.79783,                 0.9986,                0.99856,                0.99496,                0.93052,                0.37299,                0.21979,                 0.7765,                0.00703,                0.00703,                0.00703
                     38,                0.49782,                0.39446,                0.79761,                0.99881,                0.99862,                0.99495,                0.92694,                0.38171,                0.22047,                0.77722,              0.0069475,              0.0069475,              0.0069475
                     39,                0.49445,                0.39217,                0.79656,                0.99879,                0.99835,                0.99498,                0.92939,                 0.3732,                0.21831,                0.77648,               0.006865,               0.006865,               0.006865
                     40,                0.49455,                0.38747,                0.79613,                0.99876,                0.99867,                  0.995,                0.93251,                0.36681,                0.21585,                0.77587,              0.0067825,              0.0067825,              0.0067825
                     41,                0.49196,                0.38699,                0.79723,                0.99864,                0.99863,                0.99496,                0.93261,                0.36549,                0.21443,                0.77611,                 0.0067,                 0.0067,                 0.0067
                     42,                0.48733,                 0.3854,                0.79596,                0.99874,                0.99898,                  0.995,                0.93418,                0.36205,                0.21271,                0.77567,              0.0066175,              0.0066175,              0.0066175
                     43,                0.48831,                0.38145,                0.79711,                0.99885,                0.99885,                  0.995,                0.93356,                0.36349,                0.21193,                0.77575,               0.006535,               0.006535,               0.006535
                     44,                0.48646,                0.37942,                 0.7968,                 0.9989,                0.99886,                0.99499,                0.93351,                 0.3635,                0.21098,                0.77553,              0.0064525,              0.0064525,              0.0064525
                     45,                0.48452,                0.38011,                0.79589,                 0.9989,                0.99862,                  0.995,                0.93406,                0.36225,                0.20993,                0.77543,                0.00637,                0.00637,                0.00637
                     46,                 0.4802,                0.37288,                0.79553,                0.99899,                0.99883,                  0.995,                0.93697,                0.35373,                0.20717,                0.77455,              0.0062875,              0.0062875,              0.0062875
                     47,                0.47839,                0.36838,                0.79521,                0.99905,                0.99886,                  0.995,                0.93595,                 0.3549,                0.20707,                0.77474,               0.006205,               0.006205,               0.006205
