                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4442,                 4.4713,                0.97389,                0.05085,                0.14708,                0.04127,                0.03348,                0.75426,                 2.9024,                0.81984,             5.9658e-05,             5.9658e-05,             5.9658e-05
                      1,                 1.0114,                 3.1523,                0.87006,                0.12618,                0.38265,                0.13994,                 0.1171,                  0.659,                 2.3709,                0.80778,             0.00011342,             0.00011342,             0.00011342
                      2,                 0.9066,                 2.6542,                0.85332,                0.22385,                0.52436,                0.28717,                0.24294,                0.62054,                 1.9836,                0.80401,             0.00016127,             0.00016127,             0.00016127
                      3,                0.84417,                 2.2987,                0.84456,                0.33245,                0.61022,                0.41749,                0.35795,                0.58529,                 1.6343,                0.79966,             0.00015242,             0.00015242,             0.00015242
                      4,                0.81224,                 2.0551,                0.83964,                0.43293,                0.66259,                0.54704,                0.47357,                0.56123,                  1.402,                0.79761,             0.00015242,             0.00015242,             0.00015242
                      5,                0.78606,                 1.8426,                0.83358,                0.52579,                0.71626,                0.64377,                0.55763,                0.55597,                 1.2254,                0.79583,             0.00014356,             0.00014356,             0.00014356
                      6,                0.76415,                 1.6552,                0.83026,                0.65745,                0.75137,                0.75613,                0.65867,                0.54451,                  1.042,                0.79505,              0.0001347,              0.0001347,              0.0001347
                      7,                0.74539,                 1.5173,                0.82836,                 0.6962,                0.78149,                0.79958,                0.69804,                0.53728,                0.95476,                0.79438,             0.00012584,             0.00012584,             0.00012584
                      8,                0.72938,                 1.3966,                0.82591,                0.75737,                0.81985,                0.84126,                0.73675,                0.52933,                0.83928,                0.79322,             0.00011698,             0.00011698,             0.00011698
                      9,                 0.7142,                 1.3046,                0.82471,                0.77104,                0.84019,                 0.8629,                0.75929,                0.51305,                0.78416,                0.79154,             0.00010812,             0.00010812,             0.00010812
                     10,                0.63456,                 1.0591,                 0.8101,                0.81019,                 0.8637,                0.88196,                0.77811,                 0.5084,                0.72497,                0.79062,             9.9255e-05,             9.9255e-05,             9.9255e-05
                     11,                0.61636,                0.96643,                0.80698,                  0.811,                0.88618,                0.89575,                0.79175,                0.50151,                0.67955,                0.79006,             9.0395e-05,             9.0395e-05,             9.0395e-05
                     12,                0.60173,                0.90813,                0.80538,                0.83804,                0.88216,                0.91325,                0.81058,                0.49156,                0.63656,                0.78877,             8.1534e-05,             8.1534e-05,             8.1534e-05
                     13,                0.59444,                0.86932,                0.80425,                0.84384,                0.89364,                0.92326,                0.82092,                0.48958,                0.61181,                0.78794,             7.2674e-05,             7.2674e-05,             7.2674e-05
                     14,                0.58601,                0.82336,                0.80287,                0.84243,                0.90362,                0.92462,                0.82429,                0.48281,                0.59295,                0.78697,             6.3813e-05,             6.3813e-05,             6.3813e-05
                     15,                0.57739,                0.78862,                 0.8017,                0.86813,                0.89796,                0.93931,                0.83986,                0.47525,                0.56113,                0.78611,             5.4953e-05,             5.4953e-05,             5.4953e-05
                     16,                0.57108,                0.76822,                0.80104,                0.85952,                 0.9098,                0.93872,                0.84042,                 0.4737,                0.55335,                0.78625,             4.6092e-05,             4.6092e-05,             4.6092e-05
                     17,                0.56637,                   0.75,                0.80154,                 0.8756,                0.90593,                0.94381,                0.84523,                0.47211,                0.53861,                0.78599,             3.7232e-05,             3.7232e-05,             3.7232e-05
                     18,                0.56194,                0.73318,                0.79913,                 0.8794,                0.90853,                0.94808,                0.84978,                0.46926,                0.52648,                0.78554,             2.8372e-05,             2.8372e-05,             2.8372e-05
                     19,                0.55515,                0.71724,                0.79904,                0.87848,                0.91325,                0.94806,                0.85049,                0.46697,                0.52233,                0.78523,             1.9511e-05,             1.9511e-05,             1.9511e-05
